['2', '0101'] 
['2', '1011'] 
['3', '01111011'] 
['3', '01111101'] 
['3', '01111111'] 
['3', '10000001'] 
['3', '10000011'] 
['3', '10000101'] 
['3', '10000111'] 
['3', '10001011'] 
['3', '10001101'] 
['3', '10001111'] 
['3', '10010011'] 
['3', '10010101'] 
['3', '10010111'] 
['3', '10011001'] 
['3', '10011011'] 
['3', '10011101'] 
['3', '10011111'] 
['3', '10100001'] 
['3', '10100011'] 
['3', '10100111'] 
['3', '10101001'] 
['3', '10101011'] 
['3', '10101111'] 
['3', '10110001'] 
['3', '10110011'] 
['3', '10110101'] 
['3', '10110111'] 
['3', '10111001'] 
['3', '10111011'] 
['3', '10111101'] 
['3', '10111111'] 
['3', '11000001'] 
['3', '11000011'] 
['3', '11000101'] 
['3', '11001001'] 
['3', '11001011'] 
['3', '11001101'] 
['3', '11010001'] 
['3', '11010011'] 
['3', '11010101'] 
['3', '11010111'] 
['3', '11011001'] 
['3', '11011011'] 
['3', '11011101'] 
['3', '11011111'] 
['3', '11100001'] 
['3', '11100101'] 
['3', '11100111'] 
['3', '11101001'] 
['3', '11101101'] 
['3', '11101111'] 
['3', '11110001'] 
['3', '11110011'] 
['3', '11110101'] 
['3', '11110111'] 
['3', '11111001'] 
['1', '11'] ['2', '0111'] 
['2', '0001'] ['2', '0111'] 
['2', '0111'] ['2', '1000'] 
['2', '0111'] ['2', '1010'] 
['2', '0111'] ['2', '1101'] 
['2', '0111'] ['2', '1111'] 
['2', '0111'] ['3', '00000001'] 
['2', '0111'] ['3', '00000011'] 
['2', '0111'] ['3', '00000101'] 
['2', '0111'] ['3', '00000111'] 
['2', '0111'] ['3', '00001001'] 
['2', '0111'] ['3', '00001011'] 
['2', '0111'] ['3', '00001101'] 
['2', '0111'] ['3', '00001111'] 
['2', '0111'] ['3', '00010001'] 
['2', '0111'] ['3', '00010011'] 
['2', '0111'] ['3', '00010101'] 
['2', '0111'] ['3', '00010111'] 
['2', '0111'] ['3', '00011001'] 
['2', '0111'] ['3', '00011011'] 
['2', '0111'] ['3', '00011101'] 
['2', '0111'] ['3', '00011111'] 
['2', '0111'] ['3', '00100001'] 
['2', '0111'] ['3', '00100011'] 
['2', '0111'] ['3', '00100101'] 
['2', '0111'] ['3', '00100111'] 
['2', '0111'] ['3', '00101001'] 
['2', '0111'] ['3', '00101011'] 
['2', '0111'] ['3', '00101101'] 
['2', '0111'] ['3', '00101111'] 
['2', '0111'] ['3', '00110001'] 
['2', '0111'] ['3', '00110011'] 
['2', '0111'] ['3', '00110101'] 
['2', '0111'] ['3', '00110111'] 
['2', '0111'] ['3', '00111001'] 
['2', '0111'] ['3', '00111011'] 
['2', '0111'] ['3', '00111101'] 
['2', '0111'] ['3', '00111111'] 
['2', '0111'] ['3', '01000001'] 
['2', '0111'] ['3', '01000011'] 
['2', '0111'] ['3', '01000101'] 
['2', '0111'] ['3', '01000111'] 
['2', '0111'] ['3', '01001001'] 
['2', '0111'] ['3', '01001011'] 
['2', '0111'] ['3', '01001101'] 
['2', '0111'] ['3', '01001111'] 
['2', '0111'] ['3', '01010001'] 
['2', '0111'] ['3', '01010011'] 
['2', '0111'] ['3', '01010101'] 
['2', '0111'] ['3', '01010111'] 
['2', '0111'] ['3', '01011001'] 
['2', '0111'] ['3', '01011011'] 
['2', '0111'] ['3', '01011101'] 
['2', '0111'] ['3', '01011111'] 
['2', '0111'] ['3', '01100001'] 
['2', '0111'] ['3', '01100011'] 
['2', '0111'] ['3', '01100101'] 
['2', '0111'] ['3', '01100111'] 
['2', '0111'] ['3', '01101001'] 
['2', '0111'] ['3', '01101011'] 
['2', '0111'] ['3', '01101101'] 
['2', '0111'] ['3', '01101111'] 
['2', '0111'] ['3', '01110001'] 
['2', '0111'] ['3', '01110011'] 
['2', '0111'] ['3', '01110101'] 
['2', '0111'] ['3', '01110111'] 
['2', '0111'] ['3', '01111001'] 
['2', '0111'] ['3', '01111100'] 
['2', '0111'] ['3', '01111110'] 
['2', '0111'] ['3', '10000000'] 
['2', '0111'] ['3', '10000010'] 
['2', '0111'] ['3', '10000100'] 
['2', '0111'] ['3', '10000110'] 
['2', '0111'] ['3', '10001000'] 
['2', '0111'] ['3', '10001010'] 
['2', '0111'] ['3', '10001100'] 
['2', '0111'] ['3', '10001110'] 
['2', '0111'] ['3', '10010000'] 
['2', '0111'] ['3', '10010010'] 
['2', '0111'] ['3', '10010100'] 
['2', '0111'] ['3', '10010110'] 
['2', '0111'] ['3', '10011000'] 
['2', '0111'] ['3', '10011010'] 
['2', '0111'] ['3', '10011100'] 
['2', '0111'] ['3', '10011110'] 
['2', '0111'] ['3', '10100000'] 
['2', '0111'] ['3', '10100010'] 
['2', '0111'] ['3', '10100100'] 
['2', '0111'] ['3', '10100110'] 
['2', '0111'] ['3', '10101000'] 
['2', '0111'] ['3', '10101010'] 
['2', '0111'] ['3', '10101100'] 
['2', '0111'] ['3', '10101110'] 
['2', '0111'] ['3', '10110000'] 
['2', '0111'] ['3', '10110010'] 
['2', '0111'] ['3', '10110100'] 
['2', '0111'] ['3', '10110110'] 
['2', '0111'] ['3', '10111000'] 
['2', '0111'] ['3', '10111010'] 
['2', '0111'] ['3', '10111100'] 
['2', '0111'] ['3', '10111110'] 
['2', '0111'] ['3', '11000000'] 
['2', '0111'] ['3', '11000010'] 
['2', '0111'] ['3', '11000100'] 
['2', '0111'] ['3', '11000110'] 
['2', '0111'] ['3', '11001000'] 
['2', '0111'] ['3', '11001010'] 
['2', '0111'] ['3', '11001100'] 
['2', '0111'] ['3', '11001110'] 
['2', '0111'] ['3', '11010000'] 
['2', '0111'] ['3', '11010010'] 
['2', '0111'] ['3', '11010100'] 
['2', '0111'] ['3', '11010110'] 
['2', '0111'] ['3', '11011000'] 
['2', '0111'] ['3', '11011010'] 
['2', '0111'] ['3', '11011100'] 
['2', '0111'] ['3', '11011110'] 
['2', '0111'] ['3', '11100000'] 
['2', '0111'] ['3', '11100010'] 
['2', '0111'] ['3', '11100100'] 
['2', '0111'] ['3', '11100110'] 
['2', '0111'] ['3', '11101000'] 
['2', '0111'] ['3', '11101010'] 
['2', '0111'] ['3', '11101100'] 
['2', '0111'] ['3', '11101110'] 
['2', '0111'] ['3', '11110000'] 
['2', '0111'] ['3', '11110010'] 
['2', '0111'] ['3', '11110100'] 
['2', '0111'] ['3', '11110110'] 
['2', '0111'] ['3', '11111000'] 
['0', '0'] ['2', '0111'] 
['1', '01'] ['2', '0111'] 
['2', '0011'] ['2', '0111'] 
['2', '0110'] ['2', '0111'] 
['2', '0111'] ['3', '00000100'] 
['2', '0111'] ['3', '00000110'] 
['2', '0111'] ['3', '00001000'] 
['2', '0111'] ['3', '00010100'] 
['2', '0111'] ['3', '00010110'] 
['2', '0111'] ['3', '00011000'] 
['2', '0111'] ['3', '00011100'] 
